Date,Workshop,UniqueID,ProgrammingLanguage,RawData,WriteProgram,SearchOnline,OvercomeProblem,ProgrammingConfident,AnalysesEasier,ProgrammingEfficient,ImmediatelyApply,Comfortable,WorkWithData,WorkshopStrengths,WorkshopImprovements,AccessibilityIssues,AccessibilityResponse,InstructorsClearAnswers,InstructorsEnthusiastic,InstructorsInteracting,InstructorsKnowledgeable,InstructorsOpenEnded,LikelyToRecommend,Country
5/4/18 18:39,Genomics,0SFHIL,Neither,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree ,Agree ,,"I'm more of an advanced user and have a better handle of the command line interface. The second day of the workshop was very interesting to show a feel of a workflow. I'm hoping there is an advanced part for this course. As a beginner, I can see this being useful.",I'm a bit biased since the materials of the workshop were too basic for me but I would imagine this would be good for a beginner. Getting more into doing useful analysis and planning it out would be far better than just using the tools and getting output.    More focus on the analytical techniques and perhaps mentioning alternative tools to compare and contrast.,No,,Agree,Agree,Agree,Agree,They were very knowledgable in the material they were teaching and were very helpful. Again as an advanced user I didn't need much of their help.,50,United States of America
5/4/18 18:41,Genomics,0jipar,Neither,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree ,Agree ,,teach the shell command really in detail,"the pace may be faster, and more stuff could be added.",No,,Strongly agree,Agree,Strongly agree,Agree,They can answer my questions effectively and clearly.,93,United States of America
5/4/18 18:41,Genomics,2trgol,Neither,Strongly agree,Neutral,Neutral,Agree,Neutral,Strongly agree,Strongly agree,Agree ,Agree ,,I like the general format. With the lessons you can follow along and have for later. I also think the sticky program is useful.,"Have a list of resources at LBL we have available to us for help. Have a list of variable programs/tools we can use for various analyses. For example, list all the tools you can use for aligning.",No,,Strongly agree,Agree,Strongly agree,Strongly agree,,100,United States of America
5/4/18 18:38,Genomics,1speri,Neither,Strongly agree,Agree,Neutral,Agree,Neutral,Agree,Strongly agree,Neutral ,Agree ,,,,,,Neutral,Agree,Strongly agree,Strongly agree,,50,United States of America
5/4/18 18:38,Genomics,3bo62n,Neither,Strongly agree,Agree,Neutral,Agree,Agree,Strongly agree,Strongly agree,Agree ,Strongly agree ,,hands on for and discussions will going through code,,No,,Strongly agree,Agree,Strongly agree,Strongly agree,took time to answer questions and showed examples,100,United States of America
5/4/18 18:38,Genomics,,Neither,Strongly agree,Agree,Agree,Agree,Neutral,Strongly agree,Strongly agree,Neutral ,Strongly agree ,,,,No,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,85,United States of America
5/7/18 1:47,Ecology,1grvis,R,Agree,Neutral,Agree,Agree,Neutral,Agree,Agree,Neutral ,Agree ,,,,No,,Agree,Agree,Agree,Agree,,100,Germany
5/4/18 12:23,Ecology,,,,,,,,,,   ,  ,,,,,,,,,,,,
5/7/18 1:36,Ecology,1kogos,R,Strongly agree,Agree,Agree,Agree,Neutral,Strongly agree,Strongly agree,Strongly agree ,Strongly agree ,,very enthusiastic teachers and good teaching methods,have more time  for example extra day for the PCA part,No,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,100,Germany
5/7/18 1:49,Ecology,1popfa,R,Strongly agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree ,Strongly agree ,,,,No,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,100,Germany
5/7/18 1:37,Ecology,2pical,R,Strongly agree,Agree,Agree,Agree,Neutral,Strongly agree,Strongly agree,Agree ,Strongly agree ,,clarity in explaining things  excellence in supervising the group,The second day was a bit hard...  There were quite a lot of new things to learn,No,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,I hope now to be able to use R for doing some analysis on mz data,100,Germany
5/7/18 1:40,Ecology,1stdom,R,Strongly agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree ,Strongly agree ,,"very comfortable environment, all questions were answered very well, the way it was built up was very good and made a lot of sense and all was explained in a clear and ""easy to follow"" way (for a non-bioinformatician)",,No,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,"All my questions were answered very well and questions were really encouraged. A question I asked in person after the course was answered then and there and also covered the next morning in the workshop, which was really helpful.",100,Germany
5/7/18 1:48,Ecology,AA3008,R,Strongly agree,Strongly agree,Strongly agree,Disagree,Agree,Strongly agree,Strongly agree,Strongly agree ,Strongly agree ,,,,No,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,100,Germany
5/7/18 1:44,Ecology,0elmoh,R,Strongly agree,Neutral,Agree,Agree,Neutral,Agree,Agree,Agree ,Agree ,,Easy to follow,Materials should be available enough time before the course start,No,,Agree,Agree,Agree,Strongly agree,,90,Germany
5/7/18 1:38,Ecology,3ekfos,R,Strongly agree,Disagree,Agree,Neutral,Agree,Strongly agree,Strongly agree,Strongly disagree , Strongly disagree,,"Interactive, intuitive, friendly, hands-on.  Great location and food too!","Day 3 was important, but dense and at the end, some of the commands were not explained.  Also, we could have a small part (2 hours) with working on our own data and with immediate questions on the way (usually there are a lot of questions when we start analyzing the dataset). That could help to kick-off",No,,Agree,Strongly agree,Strongly agree,Strongly agree,Hugo was particularly attentive to our needs and to a general understanding of how we should approach data analysis. Big thank you!,79,Germany
5/7/18 1:42,Ecology,6asbuc,R,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree ,Agree ,,Good teachers  Teaching pace was good,Amount of materials should be simplified,No,,Agree,Strongly agree,Strongly agree,Strongly agree,Instructor was kind to go over the previous days materials for recap,90,Germany
5/7/18 1:45,Ecology,1dedal,R,Agree,Agree,Agree,Agree,Neutral,Strongly agree,Agree,Strongly agree ,Strongly agree ,,"Speed, atmosphere, explanation",x,No,,Agree,Strongly agree,Strongly agree,Strongly agree,,80,Germany
5/4/18 10:52,Ecology,,,,,,,,,,   ,  ,,,,,,,,,,,,
5/7/18 1:43,Ecology,2pagar,R,Strongly agree,Agree,Agree,Neutral,Neutral,Strongly agree,Strongly agree,Agree ,Strongly agree ,,amazing teachers (e.g. Hugo Tavares)  good balance of teaching and solving tasks / programing  sticky not system to get help / give feedback  ,,No,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,"very good explanations from Hugo, with many gestures that make things very clear",100,Germany
5/7/18 1:39,Ecology,3paseo,R,Strongly agree,Strongly agree,Agree,Agree,Neutral,Strongly agree,Strongly agree,Strongly agree ,Strongly agree ,,The basics were explicitly explained and that I learned how to use them and what are they for,"I think 3 days is not really enough, it could have been longer with a few intro of stat pls",Yes,"When I tried using my mac so I could somehow know what to do when actually doing with my own data, versions of programs are a bit a [problem",Strongly agree,Strongly agree,Strongly agree,Strongly agree,I must really learn what is happening and what can I do to my data,100,Germany
5/7/18 1:41,Ecology,2propi,R,Agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree ,Strongly agree ,,"Data packages like tidyverse and ggplot are the ones I can use straight away at work.  The example data used had similar/same structures like the data I work with, so it was easy to understand for me.  The instructors were really friendly and helpful and able to make complicated stuff easy to understand by explaining step by step and talking us through the script.",,No,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,By explaining the script (talking through the commands) it was easy for me to get the purpose of each bit of script that we were writing. ,100,Germany
5/7/18 1:46,Ecology,1pager,R,Strongly agree,Strongly agree,Neutral,Agree,Strongly agree,Strongly agree,Strongly agree,Disagree , Strongly disagree,,"good instructors, and simplified scripts",may be extent to 4 days rather than 3 days,No,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,"i am currently a beginner , cant judge an instructor",100,Germany
5/4/18 9:41,Genomics,3ducfr,R,,,,,,,,   ,  ,,,,,,,,,,,,
5/2/18 23:33,Ecology,3anpla,R,Agree,Neutral,Agree,Agree,Neutral,Agree,Neutral,Agree ,Agree ,,The instructors were really good,Having another day it will be possible to do some more examples and practice more perhaps with our own data,No,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,"They helped me to face several small issues, mostly related to my inexperience with R",100,United States of America
5/1/18 15:57,I don't know.,1phatl,R,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Agree ,Strongly agree ,,"Good lecturers, good TAs. I also liked the exercises to apply what we were currently learning",More time spent on ggplot would be very beneficial!,No,,Strongly agree,Strongly agree,Strongly agree,Agree,,75,United States of America
4/30/18 9:44,Ecology,3sidar,R,Strongly agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree ,Strongly agree ,,Great instructors (Brian and Brooke) and a good pace (other than in the SQL section which was somewhat rushed).,Less downtime/additional challenges available for those who finish their first challenges. ,No,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Brooke was very good at checking in during challenge time and providing additional questions to really get at our knowledge of the code we were building.,98,United States of America
4/30/18 9:05,Ecology,1sooak,R,Strongly agree,Neutral,Agree,Neutral,Neutral,Strongly agree,Strongly agree,Agree ,Agree ,,"workshop starts with fundamentals, exercises build on each other",more sql/r integration; an additional day to work with own dataset or a project oriented 3rd day which incorporates skills learned from first two days into more student driven learning exercise. ,No,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,they were very responsive to post-it note inquiries,90,United States of America
4/30/18 9:48,Ecology,1defer,R,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree ,Strongly agree ,,"1: it is time based training,means Punctual.  2: advanced for researcher because i am in the way   ",need more time for workshop ,No,,Strongly agree,Agree,Agree,Strongly agree,implementation of R and manipulation ,100,Ethiopia
4/29/18 21:19,I don't know.,2kwmis,R,Neutral,Disagree,Neutral,Neutral,Disagree,Disagree,Disagree,Disagree ,Agree ,,learning by doing,"advance training/background info prior to the workshop, differentiate levels of knowledge of the attendees and customize accordingly, reasons for learning specific tools - e.g.) where they can be used",Yes,,Neutral,Agree,Agree,Agree,made it easier to understand,54,United States of America
4/29/18 12:25,I don't know.,3ed11t,R,Neutral,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly disagree , Strongly disagree,,,,No,,Agree,Agree,Agree,Agree,,95,United States of America
4/27/18 15:54,Ecology,3malux,R,Strongly agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree ,Strongly agree ,,group-learning apporach,have clear learning objectives at registration,No,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,100,United States of America
4/27/18 15:29,I don't know.,1grham,R,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree ,Strongly agree ,,fabulous instructors,more people floating around to answer questions when they arise,No,,Agree,Strongly agree,Strongly agree,Strongly agree,"the teaching style was good. a good amount of lecture, challenges, feedback, summary. really well done",100,United States of America
4/27/18 15:01,Ecology,2hasou,R,,,,,,,,   ,  ,,,,,,,,,,,,
4/27/18 12:21,Ecology,3pisou,R,Agree,Agree,Agree,Agree,Neutral,Strongly agree,Strongly agree,Agree ,Agree ,,knowledgeable instructors. nice to have a mix of instructors.  good overview.  good that lunch was provided to save time and bother of having to go out for lunch. use of red and green sticky notes good.,"have instructors pay attention to how readable text on the screen is.  need more time to play with what was presented.  would be good to have a more unifying theme throughout the workshop to tie everything together as there is a lot of information.  present 2 or 3 ""learning objectives"" at the start of each module so we know what we should understand by the end of it. pay attention to the pulse of the class and take breaks when energy is low.  keep on schedule and have the correct times on the website (posted as ending at 4:30 but we didn't finish until 5pm).  instructors who are not lecturing should be walking around to see what people are doing as not everyone is willing to advertise that they are having problems with the red sticky (though I personally really liked that). have everyone install all needed packages before class rather than using it as an exercise in how to do that (I had problems because of controls on what I can do on my computer).",No,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,instructors were responsive to my red sticky and would come by and help.  one instructor let me use her computer when I couldn't get the package on mine.,90,United States of America
4/27/18 11:41,Ecology,2clhac,R,Agree,Neutral,Agree,Neutral,Neutral,Agree,Agree,Neutral ,Disagree ,,Teachers were very knowledgeable,"I didn't like colors in the interface. It made hard to read, specially if the font size was small",No,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,100,United States of America
4/27/18 8:47,Ecology,0aagab,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree ,Agree ,,time managment  place to attend ,assisting with video tutorial,Yes,"income, and Internet connection",Strongly agree,Agree,Strongly agree,Strongly agree,by giving two cards with color the teacher interacts in question and answer,100,Ethiopia
4/27/18 8:31,Ecology,,,,,,,,,,   ,  ,,,,,,,,,,,,
4/27/18 8:30,Ecology,,,,,,,,,,   ,  ,,,,,,,,,,,,
4/27/18 8:30,Ecology,,,,,,,,,,   ,  ,,,,,,,,,,,,
4/27/18 8:30,Ecology,,,,,,,,,,   ,  ,,,,,,,,,,,,
4/27/18 8:29,Ecology,,,,,,,,,,   ,  ,,,,,,,,,,,,
4/27/18 8:29,Ecology,,,,,,,,,,   ,  ,,,,,,,,,,,,
4/27/18 8:51,Ecology,2aaale,R,Strongly agree,Agree,Neutral,Neutral,Agree,Agree,Neutral,Neutral ,Agree ,,The trainers are good  The topics are intersterting,,No,,Agree,Agree,Agree,Agree,,72,Ethiopia
4/27/18 8:44,Ecology,,R,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,Strongly agree ,Agree ,,Time management was good  It comes with best program  ,Time allocated for the program have to improved  ,No,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,when I face some difficulties they help ,98,Ethiopia
4/27/18 8:37,Ecology,3adkot,R,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree ,  ,,it gives me exposed to new data analysis tool which I did not know before. ,"include application training for research data. Now it is a basic training, researcher wants the application part",No,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,"when I have problem, they immediately come and support me",70,Ethiopia
4/27/18 8:34,Ecology,4ADALG,R,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree ,Strongly agree ,,Good Organization and Schedule,Focus on a particular type of analysis as sort a scenario,No,,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,,96,Ethiopia
4/27/18 8:52,Ecology,1aaaab,R,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree ,Strongly agree ,,interesting teachers,continue terning by another university,No,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,by answering question,91,Ethiopia
4/27/18 8:38,Reproducible Research,6sekil,R,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree ,Strongly agree ,,@ the instructors engagement with the audience  @ ,it is better it it has its own power point for the lecture itself,No,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,they have been friendly with us,90,Ethiopia
4/27/18 8:28,Reproducible Research,,,,,,,,,,   ,  ,,,,,,,,,,,,
4/26/18 9:11,Ecology,2ripal,R,Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree ,Agree ,,good topics covered,slower pace over more time,No,,Agree,Agree,Agree,Strongly agree,answered any question I had,90,United States of America
4/26/18 9:06,I don't know.,1mijul,R,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree ,Strongly agree ,,"The instructors were very helpful. They were confident in what they were saying, and were proficient in the programs. The other participants were very open to everyone else.",The class could be extended longer than just 2 days. I believe that it will help as far as the participants who are coming to the workshop without any prior experience. ,No,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,"I was not able to pull up a particular data set, and the instructor was very helpful in showing me where I had not saved it before I tried to download it into R.",100,United States of America
4/25/18 14:09,I don't know.,3flcap,R,Strongly agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree ,Agree ,,instructors were very efficient and explained everything clearly.,longer workshop to cover soo much ,No,,Agree,Strongly agree,Strongly agree,Strongly agree,,100,United States of America
4/25/18 13:58,Ecology,1basan,R,Agree,Agree,Agree,Neutral,Neutral,Strongly agree,Strongly agree,Strongly agree ,Strongly agree ,,,,No,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,100,United States of America
4/25/18 13:44,Ecology,1la5th,R,Strongly agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree ,Strongly agree ,,,Add the notes to the code as you work through it. ,No,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,92,United States of America
4/25/18 14:15,Ecology,0NY241,R,Agree,Neutral,Agree,Disagree,Strongly disagree,Agree,Agree,Neutral ,Strongly agree ,,"Instructors were knowledgeable, patient, and willing to help. The lessons were well organized. ","I felt that I (and others) had focused so much on entering the correct information into R, that many of the important principles being taught were missed. Perhaps a lesson where there is a chance to cut and paste programming information into R would allow students to pay more attention to the lesson instead of troubleshooting type-oâ€™s. Perhaps a designated time period can be set aside in order to practice entering information correctly. ",No,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Simona Picardi was great.,100,United States of America
4/25/18 13:50,Reproducible Research,,R,Strongly agree,Neutral,Agree,Neutral,Disagree,Neutral,Neutral,Agree ,Agree ,,"The instructors mastered the materials,  They worked in a cohesive and collaborative way. I value group work.  They were very helpful in getting you on track when you encountered some computational challenges.  I encourage the Data Carpentry Club to keep working together and explore larger scale training.  Thank you for your hospitality and willingness to share your experience with us.",Try to cover a specific amount of materials so that you do not have to speed up the presentation or increase the number of days for the workshop.    Offer online training session for remote students. Mediasite video is a wonderful UF resource for that.,No,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,"When you think R is a highly advance tool, you miss the reality that it uses the same calculation structure as in math. For instance, one of the instructor used basic example like what () and [] mean in math and related that in R. That was very helpful because you start considering R as interface that uses the same structure rather than an advance and complicated software.",90,United States of America
4/25/18 13:12,Ecology,0bakea,R,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree ,Agree ,,The people who taught the workshop were very knowledgeable and did a nice job presenting the basic use of R and sql.,The use of a black background with text that is blue or red is completely unacceptable.,No,,Strongly agree,Strongly agree,Agree,Strongly agree,The use of the red tag/green tag approach was very helpful and let instructors know when we needed help.,95,United States of America
4/24/18 17:12,Ecology,2elswt,R,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree ,Strongly agree ,,"Diversity of topics, SQL and various topics in R.",Mapping! I would have really liked a section on that.,No,,Agree,Strongly agree,Strongly agree,Agree,,96,United States of America
4/24/18 17:05,Reproducible Research,2rasev,R,Strongly agree,Agree,Agree,Neutral,Agree,Strongly agree,Strongly agree,Strongly agree ,Strongly agree ,,How the examples were broken down into pieces and then brought into a larger context was a great part of the workshop.,I think another day would have been ideal.,No,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,The human aspect of working with R. The ability to understand initial frustration with working with the program stuck out in my mind.,100,United States of America
4/23/18 8:28,I don't know.,,,,,,,,,,   ,  ,,,,,,,,,,,,
4/20/18 2:58,Ecology,,R,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree ,Strongly agree ,,The major strength of the workshop was the method that they have been using to teach us was interesting and they were trying to teach us from the scratch ,My comment is to include working with R   ANOVA   Reg-ration   correlation   I it will be more interesting if you include more detailed lessons ,No,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,The instructors were answering my questions clearly and they were motivated to share their knowledge and experience about R software,100,Ethiopia
4/19/18 11:33,Reproducible Research,2osoak,R,Strongly disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly disagree , Strongly disagree,,level of material covered was appropriate,pace was good at times and overwhelming. Try to make sure presentations have a specific goal and do not rush just to make sure you cover something. ,No,,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,provided insight into how and when they use specific tools being taught,95,United States of America
4/18/18 5:21,I don't know.,,,,,,,,,,   ,  ,,,,,,,,,,,,
4/17/18 15:46,I don't know.,1bocut,R,Agree,Agree,Neutral,Neutral,Agree,Strongly agree,Strongly agree,Strongly agree ,Strongly agree ,,Going over how to use tidyverse and ggplot2,"Having some previous experience, I felt the the workshop was very slow-paced. In general, I think many of the lecture portions could have been more efficient.",No,,Agree,Agree,Agree,Agree,"Helped me set up R and packages on my own computer, helped me work through challenges.",75,United Kingdom
4/17/18 12:35,I don't know.,,,,,,,,,,   ,  ,,,,,,,,,,,,
4/17/18 12:35,,1padow,R,Strongly agree,Neutral,Agree,Agree,Neutral,Strongly agree,Strongly agree,Neutral ,Neutral ,,some well prepared sessions,have some more basis skills as prerequisites or some tutorials   in advance,No,,Strongly agree,Strongly agree,Agree,Agree,,98,United Kingdom
4/17/18 12:04,Ecology,1brhil,R,Strongly agree,Agree,Agree,Neutral,Agree,Strongly agree,Agree,Strongly agree ,Strongly agree ,,Course notes and technical support was excellent,,Yes,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,100,United Kingdom
4/12/18 19:36,Ecology,2sairv,R,Agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree ,Strongly agree ,,"The content was a perfect amount, easy to understand and follow.",The pace during the afternoon was a bit too fast. ,No,,,,,,,,
